order_date,region,channel,product_line,plan_tier,revenue_usd,cost_usd,orders
2026-03-05,US,Partner,Core,0,35312.18,19538.23,12
2026-03-06,US,Direct,Services,0,355185.14,201394.71,57
2026-03-07,US,Direct,Core,0,233771.84,126370.66,69
2026-03-08,US,Direct,Services,1,205880.67,109533.71,37
2026-03-09,EU,Partner,Core,1,296198.66,187318.2,44
2026-03-10,US,Direct,Premium,0,87478.84,49533.86,33
2026-03-11,US,Direct,AddOn,1,125132.17,72125.63,20
2026-03-12,EU,Marketplace,Core,1,356352.83,256895.57,68
2026-03-13,LATAM,Direct,Core,1,326446.09,252059.97,69
2026-03-14,APAC,Partner,Services,1,157520.69,84817.5,23
2026-03-15,LATAM,Direct,Premium,1,167645.91,113681.25,77
2026-03-16,APAC,Direct,Core,1,383321.5,261257.99,56
2026-03-17,US,Direct,Premium,0,189418.37,130725.59,26
2026-03-18,EU,Partner,Premium,0,317781.52,183242.35,57
2026-03-19,US,Direct,Premium,0,406762.16,225262.39,71
2026-03-20,US,Direct,AddOn,1,264043.73,158990.76,37
2026-03-21,US,Direct,Core,1,352098.87,242205.83,58
2026-03-22,US,Direct,Premium,1,156090.66,89372.63,33
